2026-03-23 16:29:19 | week=5 sw=a level=9   | build_payloads               |    0.05s | 15 games
2026-03-23 16:29:22 | week=5 sw=a level=3   | load_subweek_state           |    3.56s | 8361 players
2026-03-23 16:29:22 | week=5 sw=a level=3   | build_payloads               |    0.32s | 146 games
2026-03-23 16:29:25 | week=5 sw=a level=9   | engine_call                  |    6.12s | 15 games
2026-03-23 16:29:32 | week=5 sw=a level=9   | phase1_store_results         |    6.36s | 15 results
2026-03-23 16:29:42 | week=5 sw=a level=3   | engine_call                  |   20.26s | 146 games
2026-03-23 16:29:50 | week=5 sw=a level=3   | phase1_store_results         |    7.40s | 146 results
2026-03-23 16:29:53 | week=5 sw=a level=9   | phase2_stat_accum            |    2.94s | 15 results
2026-03-23 16:29:54 | week=5 sw=a level=9   | phase2_position_usage        |    0.54s | 
2026-03-23 16:29:56 | week=5 sw=a level=9   | phase2_stamina_injuries      |    1.74s | 
2026-03-23 16:30:13 | week=5 sw=a level=3   | phase2_stat_accum            |   17.32s | 146 results
2026-03-23 16:30:18 | week=5 sw=a level=3   | phase2_position_usage        |    4.63s | 
2026-03-23 16:30:31 | week=5 sw=a level=3   | phase2_stamina_injuries      |   13.41s | 
2026-03-23 16:30:31 | week=5 sw=a level=    | global_stamina_recovery      |    0.18s | 
2026-03-23 16:30:32 | week=5 sw=b level=9   | load_subweek_state           |    0.53s | 780 players
2026-03-23 16:30:32 | week=5 sw=b level=9   | build_payloads               |    0.02s | 15 games
2026-03-23 16:30:38 | week=5 sw=b level=9   | engine_call                  |    5.56s | 15 games
2026-03-23 16:30:44 | week=5 sw=b level=9   | phase1_store_results         |    5.93s | 15 results
2026-03-23 16:30:48 | week=5 sw=b level=9   | phase2_stat_accum            |    2.22s | 15 results
2026-03-23 16:30:49 | week=5 sw=b level=9   | phase2_position_usage        |    0.56s | 
2026-03-23 16:30:50 | week=5 sw=b level=9   | phase2_stamina_injuries      |    1.39s | 
2026-03-23 16:30:50 | week=5 sw=b level=    | global_stamina_recovery      |    0.17s | 
2026-03-23 16:30:51 | week=5 sw=c level=9   | load_subweek_state           |    1.00s | 780 players
2026-03-23 16:30:51 | week=5 sw=c level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:30:52 | week=5 sw=c level=3   | load_subweek_state           |    1.46s | 8478 players
2026-03-23 16:30:52 | week=5 sw=c level=3   | build_payloads               |    0.33s | 148 games
2026-03-23 16:30:57 | week=5 sw=c level=9   | engine_call                  |    5.81s | 15 games
